Year,logit,probit
2025,7,4
2024,1990,1114
2023,2495,1375
2022,2646,1442
2021,2608,1300
2020,2278,1266
2019,1975,1155
2018,1430,760
2017,1407,768
2016,1245,698
2015,1174,612
2014,1015,620
2013,1020,612
2012,893,553
2011,769,522
2010,761,501
2009,685,446
2008,605,408
2007,537,348
2006,460,305
2005,427,297
2004,371,255
2003,281,217
2002,299,222
2001,237,201
2000,182,207
1999,112,169
1998,132,199
1997,100,182
1996,115,174
1995,99,152
1994,144,140
1993,156,131
1992,137,130
1991,108,82
1990,78,69
1989,43,60
1988,60,53
1987,57,75
1986,49,54
1985,43,63
1984,52,62
1983,45,51
1982,33,47
1981,36,41
1980,27,43
1979,32,45
1978,26,34
1977,27,29
1976,23,32
1975,7,9
1974,6,5
1973,1,3
1972,1,7
1971,1,5
1970,1,4
1969,1,1
1968,1,7
1967,2,17
1966,1,23
1965,3,29
1964,1,15
1963,3,14
1962,2,14
1961,3,13
