"","height","prominence","fail","success"
"1",8611,4017,44,22
"2",8586,3922,24,18
"3",8516,610,26,13
"4",8485,2386,52,22
"5",8188,2340,28,30
"6",8167,3357,39,25
"7",8163,3092,45,23
"8",8126,4608,67,26
"9",8091,2984,47,17
"10",8080,2155,16,15
"11",8051,1701,19,19
"12",8035,1524,12,27
"13",8027,2897,19,21
"14",7952,700,3,24
"15",7946,355,2,10
"16",7937,2437,19,28
"17",7932,715,11,20
"18",7893,1633,12,28
"19",7884,2525,5,14
"20",7871,1020,6,10
"21",7864,319,12,24
"22",7823,1765,6,10
"23",7821,2457,9,20
"24",7816,3139,12,8
"25",7804,590,1,14
"26",7795,3118,6,20
"27",7790,1690,1,10
"28",7788,2818,13,31
"29",7782,4106,2,4
"30",7756,2825,14,12
"31",7751,2396,11,20
"32",7742,2160,1,10
"33",7711,1036,12,9
"34",7708,3910,11,11
"35",7703,430,0,4
"36",7694,2788,4,28
"37",7672,2304,4,28
"38",7661,469,10,10
"39",7649,3585,4,10
"40",7618,340,3,10
"41",7611,1240,1,14
"42",7577,980,5,10
"43",7570,2995,3,3
"44",7556,3642,7,28
"45",7555,703,17,5
"46",7545,1085,2,4
"47",7543,520,9,32
"48",7538,1650,2,14
"49",7530,840,3,10
"50",7516,1803,0,24
"51",7513,1450,0,3
"52",7495,850,0,4
"53",7492,2024,3,16
"54",7492,890,2,4
"55",7476,645,0,4
"56",7469,1313,1,20
"57",7462,1702,0,10
"58",7462,1298,3,10
"59",7458,2193,6,10
"60",7455,563,13,31
"61",7434,260,12,8
"62",7428,1978,2,20
"63",7422,2352,6,4
"64",7422,640,0,28
"65",7414,980,6,10
"66",7412,780,2,4
"67",7410,1152,1,10
"68",7409,2277,3,20
"69",7403,1040,5,20
"70",7401,1493,0,20
"71",7388,700,5,10
"72",7385,1438,3,4
"73",7385,600,0,14
"74",7382,520,0,4
"75",7380,1000,1,4
"76",7367,1957,0,4
"77",7362,1168,6,4
"78",7355,217,2,9
"79",7350,500,1,14
"80",7350,432,1,14
"81",7349,1979,3,10
"82",7326,2077,0,20
"83",7321,1240,1,29
"84",7315,1300,1,4
"85",7312,1200,0,4
"86",7309,650,1,10
"87",7295,1919,3,4
"88",7294,2942,0,4
"89",7292,520,0,24
"90",7285,1891,13,14
"91",7283,620,1,4
"92",7282,1962,3,4
"93",7281,1340,1,4
"94",7276,1710,2,20
"95",7272,730,3,29
"96",7268,485,0,24
"97",7266,1325,8,7
"98",7250,570,0,3
"99",7246,1151,5,6
"100",7245,635,0,10
"101",7242,840,1,10
"102",7233,615,0,4
"103",7227,1525,13,8
"104",7221,880,2,3
"105",7219,775,16,5
"106",7213,712,0,4
"107",7207,1757,0,3
"108",7207,515,0,4
"109",7206,2160,1,20
"110",7205,650,0,20
"111",7204,1200,0,4
"112",7202,790,0,10
"113",7200,730,0,4
